user_query,bot_response,expanded_query,topic
who is the prime minister of India?answer in 2 line,The current Prime Minister of India is Narendra Modi. He has been serving in this position since 2014.,,Politics - India
what are the duties of the prime minister of India?.answer in 2 line,"The Prime Minister of India is the head of the government, responsible for aiding and advising the President in the administration of the country. Their duties include chairing cabinet meetings, overseeing the functioning of various ministries, and serving as the principal spokesperson of the government in Parliament.",what are the duties of the prime minister of India?.answer in 2 line,Politics - India
how long has the current prime minister of India been in office?.answer in 2 line,"The current Prime Minister of India, Narendra Modi, has been in office since May 26, 2014. As of my last update in October 2023, he has been serving for over nine years.",how long has the current prime minister of India been in office?.answer in 2 line,Politics - India
who is the prime minister of UK?answer in 2 line,"The current Prime Minister of the United Kingdom is Rishi Sunak. He took office on October 25, 2022.",,Politics - UK
what are the duties of the prime minister of UK?.answer in 2 line,"The Prime Minister of the UK is responsible for overseeing the operation of the government and serves as the principal advisor to the monarch. Their duties include chairing Cabinet meetings, coordinating government policy, and representing the UK on the international stage.",what are the duties of the prime minister of UK?.answer in 2 line,Politics - UK
how long has the current prime minister of UK been in office?.answer in 2 line,"The current Prime Minister of the UK, Rishi Sunak, assumed office on October 25, 2022. As of my last update, he has been in office for approximately [calculate the time span from October 25, 2022, to the current date].",how long has the current prime minister of UK been in office?.answer in 2 line,Politics - UK
who is the prime minister of USA?answer in 2 line,"The United States does not have a prime minister. The head of government in the U.S. is the President, currently Joseph R. Biden Jr.",,Politics - USA
what are the duties of the prime minister of USA?.answer in 2 line,The United States does not have a Prime Minister. The President serves as both the head of state and the head of government in the U.S. political system.,what are the duties of the prime minister of USA?.answer in 2 line,Politics - USA
how long has the current prime minister of USA been in office?.answer in 2 line,"The United States does not have a prime minister; it has a president. The current president, Joe Biden, has been in office since January 20, 2021.",how long has the current prime minister of USA been in office?.answer in 2 line,Politics - USA
who is the prime minister of Canada?answer in 2 line,"The current Prime Minister of Canada is Justin Trudeau. He has been serving in this position since November 4, 2015.",,Politics - Canada
what are the duties of the prime minister of Canada?.answer in 2 line,"The Prime Minister of Canada is responsible for leading the federal government, including chairing the Cabinet and overseeing the operations of the government. They also serve as the primary spokesperson for the government, both domestically and internationally.",what are the duties of the prime minister of Canada?.answer in 2 line,Politics - Canada
