user_query,bot_response,expanded_query,topic
who is the prime minister of India?,The current Prime Minister of India is Narendra Modi. He has been serving in this position since 2014.,,Politics - India
what are the duties of the prime minister of India?,"The Prime Minister of India is the head of the government, responsible for aiding and advising the President in the administration of the country. Their duties include chairing cabinet meetings, overseeing the functioning of various ministries, and serving as the principal spokesperson of the government in Parliament.",what are the duties of the prime minister of India?.answer in 2 line,Politics - India
how long has the current prime minister of India been in office?,"The current Prime Minister of India, Narendra Modi, has been in office since May 26, 2014. As of my last update in October 2023, he has been serving for over nine years.",how long has the current prime minister of India been in office?.answer in 2 line,Politics - India
who is the prime minister of UK?,"The current Prime Minister of the United Kingdom is Rishi Sunak. He took office on October 25, 2022.",,Politics - UK
what are the duties of the prime minister of UK?,"The Prime Minister of the UK is responsible for overseeing the operation of the government and serves as the principal advisor to the monarch. Their duties include chairing Cabinet meetings, coordinating government policy, and representing the UK on the international stage.",what are the duties of the prime minister of UK?.answer in 2 line,Politics - UK
how long has the current prime minister of UK been in office?,"The current Prime Minister of the UK, Rishi Sunak, assumed office on October 25, 2022. As of my last update, he has been in office for approximately [calculate the time span from October 25, 2022, to the current date].",how long has the current prime minister of UK been in office?.answer in 2 line,Politics - UK
who is the prime minister of USA?,"The United States does not have a prime minister. The head of government in the U.S. is the President, currently Joseph R. Biden Jr.",,Politics - USA
what are the duties of the prime minister of USA?,The United States does not have a Prime Minister. The President serves as both the head of state and the head of government in the U.S. political system.,what are the duties of the prime minister of USA?.answer in 2 line,Politics - USA
how long has the current prime minister of USA been in office?,"The United States does not have a prime minister; it has a president. The current president, Joe Biden, has been in office since January 20, 2021.",how long has the current prime minister of USA been in office?.answer in 2 line,Politics - USA
who is the prime minister of Canada?,"The current Prime Minister of Canada is Justin Trudeau. He has been serving in this position since November 4, 2015.",,Politics - Canada
what are the duties of the prime minister of Canada?,"The Prime Minister of Canada is responsible for leading the federal government, including chairing the Cabinet and overseeing the operations of the government. They also serve as the primary spokesperson for the government, both domestically and internationally.",what are the duties of the prime minister of Canada?.answer in 2 line,Politics - Canada
how long has the current prime minister of Canada been in office?,"Justin Trudeau has been the Prime Minister of Canada since November 4, 2015. As of my last update in October 2023, he has been in office for nearly 8 years.",how long has the current prime minister of Canada been in office?.answer in 2 line,Politics - Canada
who is the prime minister of Australia?,"The current Prime Minister of Australia is Anthony Albanese. He has held this position since May 23, 2022.",,Politics - Australia
what are the duties of the prime minister of Australia?,"The Prime Minister of Australia is the head of government, responsible for leading the federal Cabinet and advising the Governor-General. Their duties include setting the legislative agenda, overseeing the administration of federal departments, and representing Australia internationally.",what are the duties of the prime minister of Australia?.answer in 2 line,Politics - Australia
how long has the current prime minister of Australia been in office?,"The current Prime Minister of Australia, Anthony Albanese, has been in office since May 23, 2022. He took office following the federal election that month.",how long has the current prime minister of Australia been in office?.answer in 2 line,Politics - Australia
who is the prime minister of Germany?,"The Chancellor of Germany, a position equivalent to a prime minister, is currently Olaf Scholz. He took office on December 8, 2021.",,Politics - Germany
what are the duties of the prime minister of Germany?,"The Prime Minister of Germany, officially called the Chancellor, oversees the government's day-to-day operations and chairs cabinet meetings. They are responsible for setting the guidelines for policy, and act as the head of the federal government.",what are the duties of the prime minister of Germany?.answer in 2 line,Politics - Germany
how long has the current prime minister of Germany been in office?,"The current Chancellor of Germany, Olaf Scholz, took office on December 8, 2021. As of now, he has been in office for approximately [calculate the time span from December 8, 2021, to the current date].",how long has the current prime minister of Germany been in office?.answer in 2 line,Politics - Germany
who is the prime minister of France?,"France does not have a prime minister in the same sense as some other countries. Instead, the head of government is referred to as the Prime Minister of France, currently Élisabeth Borne, who serves under the President of France, Emmanuel Macron.",,Politics - France
what are the duties of the prime minister of France?,"The Prime Minister of France, appointed by the President, oversees the day-to-day operations of the government, ensuring the implementation of policies and laws. They also coordinate the work of government ministers and act as a liaison between the executive and legislative branches.",what are the duties of the prime minister of France?.answer in 2 line,Politics - France
how long has the current prime minister of France been in office?,"The current Prime Minister of France is Élisabeth Borne. She has been in office since May 16, 2022.",how long has the current prime minister of France been in office?.answer in 2 line,Politics - France
who is the prime minister of Japan?,"The current Prime Minister of Japan is Fumio Kishida. He took office on October 4, 2021.",,Politics - Japan
what are the duties of the prime minister of Japan?,"The Prime Minister of Japan is the head of government, responsible for overseeing the executive branch and presiding over the Cabinet. Their duties include enforcing laws, directing national policy, and serving as the commander-in-chief of the Japan Self-Defense Forces.",what are the duties of the prime minister of Japan?.answer in 2 line,Politics - Japan
how long has the current prime minister of Japan been in office?,"The current Prime Minister of Japan, Fumio Kishida, took office on October 4, 2021. As of my last update in October 2023, he has been in office for approximately 2 years.",how long has the current prime minister of Japan been in office?.answer in 2 line,Politics - Japan
who won the 2018 world cup in football?,"France won the 2018 FIFA World Cup.
They defeated Croatia in the final by a score of 4-2.",,Sports - football
who was the top scorer in the 2018 football world cup?,The top scorer in the 2018 FIFA World Cup was Harry Kane. He scored 6 goals throughout the tournament.,who was the top scorer in the 2018 football world cup?.answer in 2 line,Sports - football
when and where is the next football world cup?,"The next FIFA World Cup will be held in 2026. It will be co-hosted by Canada, Mexico, and the United States.",when and where is the next football world cup?.answer in 2 line,Sports - football
who won the 2018 world cup in cricket?,"The 2018 Cricket World Cup was not held. The most recent Cricket World Cup was in 2019, which was won by England.",,Sports - cricket
who was the top scorer in the 2018 cricket world cup?,"The 2018 Cricket World Cup was not held as the tournament is typically scheduled every four years. The most recent event before 2018 was the 2015 Cricket World Cup, where Martin Guptill of New Zealand was the top scorer with 547 runs.",who was the top scorer in the 2018 cricket world cup?.answer in 2 line,Sports - cricket
when and where is the next cricket world cup?,The next Cricket World Cup (50-over format) is scheduled for 2023. It will be hosted by India.,when and where is the next cricket world cup?.answer in 2 line,Sports - cricket
who won the 2018 world cup in basketball?,The 2018 FIBA Women's Basketball World Cup was won by the United States. They defeated Australia in the final game.,,Sports - basketball
who was the top scorer in the 2018 basketball world cup?,"The top scorer in the 2018 Basketball World Cup was not tracked as the event is officially known as the FIBA Basketball World Cup, which was held in 2019. In the 2019 FIBA Basketball World Cup, the top scorer was Bogdan Bogdanovic from Serbia.",who was the top scorer in the 2018 basketball world cup?.answer in 2 line,Sports - basketball
when and where is the next basketball world cup?,"The next FIBA Basketball World Cup is scheduled for 2023. It will be co-hosted by the Philippines, Japan, and Indonesia from August 25 to September 10.",when and where is the next basketball world cup?.answer in 2 line,Sports - basketball
who won the 2018 world cup in rugby?,"The 2018 Rugby World Cup was not held as the Rugby World Cup is held every four years. The most recent Rugby World Cup was in 2019, which was won by South Africa.",,Sports - rugby
who was the top scorer in the 2018 rugby world cup?,"The top scorer in the 2018 Rugby World Cup Sevens was Sivia Meli Derenalagi from Fiji, with a total of 58 points. He scored 6 tries and 19 conversions throughout the tournament.",who was the top scorer in the 2018 rugby world cup?.answer in 2 line,Sports - rugby
when and where is the next rugby world cup?,The next Rugby World Cup will be held in 2023. It is scheduled to take place in France from September 8 to October 28.,when and where is the next rugby world cup?.answer in 2 line,Sports - rugby
who won the 2022 world cup in football?,"The 2022 FIFA World Cup was won by Argentina. They defeated France in the final match on December 18, 2022.",,Sports - football
